Hundee |Root|,Jirma |Stem|,Ani |I|,Nuti |We|,Ati |You|,Isin |You|,Inni |He|,Isheen |She|,Isaan |They|
addeessan,addeess_,Ani addeesse,Nuti addeessne,Ati addeesste,Isin addeesstan,Inni addeesse,Isheen addeesste,Isaan addeessan
afeeruu,afeer_,Ani afeere,Nuti afeerne,Ati afeerte,Isin afeertan,Inni afeere,Isheen afeerte,Isaan afeeran
aguugan,aguug_,Ani aguuge,Nuti aguugne,Ati aguugte,Isin aguugtan,Inni aguuge,Isheen aguugte,Isaan aguugan
argachuu,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argadhe,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argame,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamne,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamu,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamuu,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argan,arg_,Ani arge,Nuti argne,Ati argte,Isin argtan,Inni arge,Isheen argte,Isaan argan
argatan,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argate,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argine,argi_,Ani argie,Nuti argine,Ati argite,Isin argitan,Inni argie,Isheen argite,Isaan argian
arjoome,arjoom_,Ani arjoome,Nuti arjoomne,Ati arjoomte,Isin arjoomtan,Inni arjoome,Isheen arjoomte,Isaan arjooman
baafaman,baafam_,Ani baafame,Nuti baafamne,Ati baafamte,Isin baafamtan,Inni baafame,Isheen baafamte,Isaan baafaman
baasuu,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
baasuun,baas_,Ani baase,Nuti baasne,Ati baaste,Isin baastan,Inni baase,Isheen baaste,Isaan baasan
bade,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
badu,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
baduun,bad_,Ani bade,Nuti badne,Ati badte,Isin badtan,Inni bade,Isheen badte,Isaan badan
bahamuu,baham_,Ani bahame,Nuti bahamne,Ati bahamte,Isin bahamtan,Inni bahame,Isheen bahamte,Isaan bahaman
bahamuun,baham_,Ani bahame,Nuti bahamne,Ati bahamte,Isin bahamtan,Inni bahame,Isheen bahamte,Isaan bahaman
bahan,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahe,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahu,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahuu,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
bahuun,bah_,Ani bahe,Nuti bahne,Ati bahte,Isin bahtan,Inni bahe,Isheen bahte,Isaan bahan
balleessuu,balleess_,Ani balleesse,Nuti balleessne,Ati balleesste,Isin balleesstan,Inni balleesse,Isheen balleesste,Isaan balleessan
baqsuu,baqs_,Ani baqse,Nuti baqsne,Ati baqste,Isin baqstan,Inni baqse,Isheen baqste,Isaan baqsan
barachuu,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
barachuun,barat_,Ani barate,Nuti baratne,Ati baratte,Isin barattan,Inni barate,Isheen baratte,Isaan baratan
