Hundee |Root|,Jirma |Stem|,Ani |I|,Nuti |We|,Ati |You|,Isin |You|,Inni |He|,Isheen |She|,Isaan |They|
aanan,aan_,Ani aane,Nuti aanne,Ati aante,Isin aantan,Inni aane,Isheen aante,Isaan aanan
aanu,aan_,Ani aane,Nuti aanne,Ati aante,Isin aantan,Inni aane,Isheen aante,Isaan aanan
aanuun,aan_,Ani aane,Nuti aanne,Ati aante,Isin aantan,Inni aane,Isheen aante,Isaan aanan
abaaruun,abaar_,Ani abaare,Nuti abaarne,Ati abaarte,Isin abaartan,Inni abaare,Isheen abaarte,Isaan abaaran
abdatu,abdat_,Ani abdate,Nuti abdatne,Ati abdatte,Isin abdattan,Inni abdate,Isheen abdatte,Isaan abdatan
achieve,achiev_,Ani achieve,Nuti achievne,Ati achievte,Isin achievtan,Inni achieve,Isheen achievte,Isaan achievan
addan,add_,Ani adde,Nuti addne,Ati addte,Isin addtan,Inni adde,Isheen addte,Isaan addan
addeessan,addeess_,Ani addeesse,Nuti addeessne,Ati addeesste,Isin addeesstan,Inni addeesse,Isheen addeesste,Isaan addeessan
adeemsifame,adeemsifam_,Ani adeemsifame,Nuti adeemsifamne,Ati adeemsifamte,Isin adeemsifamtan,Inni adeemsifame,Isheen adeemsifamte,Isaan adeemsifaman
adeemsifamu,adeemsifam_,Ani adeemsifame,Nuti adeemsifamne,Ati adeemsifamte,Isin adeemsifamtan,Inni adeemsifame,Isheen adeemsifamte,Isaan adeemsifaman
administrative,administrativ_,Ani administrative,Nuti administrativne,Ati administrativte,Isin administrativtan,Inni administrative,Isheen administrativte,Isaan administrativan
aduun,ad_,Ani ade,Nuti adne,Ati adte,Isin adtan,Inni ade,Isheen adte,Isaan adan
afeeruu,afeer_,Ani afeere,Nuti afeerne,Ati afeerte,Isin afeertan,Inni afeere,Isheen afeerte,Isaan afeeran
affeerru,affeerr_,Ani affeerre,Nuti affeerrne,Ati affeerrte,Isin affeerrtan,Inni affeerre,Isheen affeerrte,Isaan affeerran
afranuu,afran_,Ani afrane,Nuti afranne,Ati afrante,Isin afrantan,Inni afrane,Isheen afrante,Isaan afranan
afurtu,afur_,Ani afure,Nuti afurne,Ati afurte,Isin afurtan,Inni afure,Isheen afurte,Isaan afuran
agarre,agar_,Ani agare,Nuti agarne,Ati agarte,Isin agartan,Inni agare,Isheen agarte,Isaan agaran
agarsiise,agarsiis_,Ani agarsiise,Nuti agarsiisne,Ati agarsiiste,Isin agarsiistan,Inni agarsiise,Isheen agarsiiste,Isaan agarsiisan
aguugan,aguug_,Ani aguuge,Nuti aguugne,Ati aguugte,Isin aguugtan,Inni aguuge,Isheen aguugte,Isaan aguugan
ajjeese,ajjees_,Ani ajjeese,Nuti ajjeesne,Ati ajjeeste,Isin ajjeestan,Inni ajjeese,Isheen ajjeeste,Isaan ajjeesan
akeekuu,akeek_,Ani akeeke,Nuti akeekne,Ati akeekte,Isin akeektan,Inni akeeke,Isheen akeekte,Isaan akeekan
akkamiitu,akkamiit_,Ani akkamiite,Nuti akkamiitne,Ati akkamiitte,Isin akkamiittan,Inni akkamiite,Isheen akkamiitte,Isaan akkamiitan
akkan,akk_,Ani akke,Nuti akkne,Ati akkte,Isin akktan,Inni akke,Isheen akkte,Isaan akkan
alagaatu,alagaat_,Ani alagaate,Nuti alagaatne,Ati alagaatte,Isin alagaattan,Inni alagaate,Isheen alagaatte,Isaan alagaatan
alagoomsuu,alagooms_,Ani alagoomse,Nuti alagoomsne,Ati alagoomste,Isin alagoomstan,Inni alagoomse,Isheen alagoomste,Isaan alagoomsan
amaaratu,amaarat_,Ani amaarate,Nuti amaaratne,Ati amaaratte,Isin amaarattan,Inni amaarate,Isheen amaaratte,Isaan amaaratan
amanaman,amanam_,Ani amaname,Nuti amanamne,Ati amanamte,Isin amanamtan,Inni amaname,Isheen amanamte,Isaan amanaman
amanan,aman_,Ani amane,Nuti amanne,Ati amante,Isin amantan,Inni amane,Isheen amante,Isaan amanan
amansiisu,amansiis_,Ani amansiise,Nuti amansiisne,Ati amansiiste,Isin amansiistan,Inni amansiise,Isheen amansiiste,Isaan amansiisan
amansiisuu,amansiis_,Ani amansiise,Nuti amansiisne,Ati amansiiste,Isin amansiistan,Inni amansiise,Isheen amansiiste,Isaan amansiisan
amanuu,aman_,Ani amane,Nuti amanne,Ati amante,Isin amantan,Inni amane,Isheen amante,Isaan amanan
araarsuu,araars_,Ani araarse,Nuti araarsne,Ati araarste,Isin araarstan,Inni araarse,Isheen araarste,Isaan araarsan
araarsuun,araars_,Ani araarse,Nuti araarsne,Ati araarste,Isin araarstan,Inni araarse,Isheen araarste,Isaan araarsan
aragattu,aragat_,Ani aragate,Nuti aragatne,Ati aragatte,Isin aragattan,Inni aragate,Isheen aragatte,Isaan aragatan
argachiisuu,argachiis_,Ani argachiise,Nuti argachiisne,Ati argachiiste,Isin argachiistan,Inni argachiise,Isheen argachiiste,Isaan argachiisan
argachiisuun,argachiis_,Ani argachiise,Nuti argachiisne,Ati argachiiste,Isin argachiistan,Inni argachiise,Isheen argachiiste,Isaan argachiisan
argachuu,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argachuun,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argadhe,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argadhu,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argaman,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argame,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamne,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamsiise,argamsiis_,Ani argamsiise,Nuti argamsiisne,Ati argamsiiste,Isin argamsiistan,Inni argamsiise,Isheen argamsiiste,Isaan argamsiisan
argamsiisuu,argamsiis_,Ani argamsiise,Nuti argamsiisne,Ati argamsiiste,Isin argamsiistan,Inni argamsiise,Isheen argamsiiste,Isaan argamsiisan
argamu,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argamuu,argam_,Ani argame,Nuti argamne,Ati argamte,Isin argamtan,Inni argame,Isheen argamte,Isaan argaman
argan,arg_,Ani arge,Nuti argne,Ati argte,Isin argtan,Inni arge,Isheen argte,Isaan argan
arganne,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argannu,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argatan,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argate,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argateeyyuu,argateeyy_,Ani argateeyye,Nuti argateeyyne,Ati argateeyyte,Isin argateeyytan,Inni argateeyye,Isheen argateeyyte,Isaan argateeyyan
argatu,argat_,Ani argate,Nuti argatne,Ati argatte,Isin argattan,Inni argate,Isheen argatte,Isaan argatan
argine,argi_,Ani argie,Nuti argine,Ati argite,Isin argitan,Inni argie,Isheen argite,Isaan argian
argitan,argit_,Ani argite,Nuti argitne,Ati argitte,Isin argittan,Inni argite,Isheen argitte,Isaan argitan
arguu,arg_,Ani arge,Nuti argne,Ati argte,Isin argtan,Inni arge,Isheen argte,Isaan argan
arjoome,arjoom_,Ani arjoome,Nuti arjoomne,Ati arjoomte,Isin arjoomtan,Inni arjoome,Isheen arjoomte,Isaan arjooman
asean,ase_,Ani asee,Nuti asene,Ati asete,Isin asetan,Inni asee,Isheen asete,Isaan asean
baafachuu,baafat_,Ani baafate,Nuti baafatne,Ati baafatte,Isin baafattan,Inni baafate,Isheen baafatte,Isaan baafatan
baafachuun,baafat_,Ani baafate,Nuti baafatne,Ati baafatte,Isin baafattan,Inni baafate,Isheen baafatte,Isaan baafatan
baafaman,baafam_,Ani baafame,Nuti baafamne,Ati baafamte,Isin baafamtan,Inni baafame,Isheen baafamte,Isaan baafaman
baafame,baafam_,Ani baafame,Nuti baafamne,Ati baafamte,Isin baafamtan,Inni baafame,Isheen baafamte,Isaan baafaman
